Timestamp,GPU Utilization (%),GPU Memory Utilization (%)
1717950705,0,0
1717950706,0,0
1717950708,77,20
1717950709,100,28
1717950710,100,28
1717950711,96,30
1717950712,100,29
1717950713,100,28
1717950714,96,26
1717950715,100,28
1717950716,81,58
1717950717,80,57
1717950718,78,56
1717950719,91,32
1717950720,81,57
1717950721,96,29
1717950722,80,59
1717950724,82,53
1717950725,93,61
1717950726,92,45
1717950727,84,63
1717950728,86,62
1717950729,100,28
1717950730,100,28
1717950731,100,28
1717950732,100,26
1717950733,96,29
1717950734,99,27
1717950735,83,59
1717950736,100,31
1717950737,83,48
1717950738,83,61
1717950740,82,27
1717950741,82,60
1717950742,87,54
1717950743,85,65
1717950744,87,62
1717950745,60,16
1717950746,84,60
1717950747,89,47
1717950748,79,61
1717950749,85,62
1717950750,100,26
1717950751,96,28
1717950752,100,25
1717950753,92,38
1717950754,83,56
1717950755,100,55
1717950757,92,36
1717950758,100,25
1717950759,84,55
1717950760,82,55
1717950761,99,29
1717950762,88,45
1717950763,100,32
1717950764,84,59
1717950765,85,60
1717950766,97,28
1717950767,82,59
1717950768,89,38
1717950769,79,60
1717950770,63,41
1717950771,96,27
1717950773,89,38
1717950774,100,25
1717950775,86,55
1717950776,92,39
1717950777,93,32
1717950778,94,31
1717950779,82,44
1717950780,91,34
1717950781,81,57
1717950782,79,55
1717950783,79,52
1717950784,81,54
1717950785,80,47
1717950786,100,41
1717950787,96,29
1717950788,91,35
1717950790,83,49
1717950791,100,27
1717950792,81,51
1717950793,100,27
1717950794,83,47
1717950795,100,25
1717950796,100,25
1717950797,91,28
1717950798,100,46
1717950799,96,30
1717950800,89,36
1717950801,100,30
1717950802,79,47
1717950803,85,44
1717950804,79,58
1717950806,100,27
1717950807,78,56
1717950808,100,27
1717950809,83,53
1717950810,81,58
1717950811,82,48
1717950812,82,50
1717950813,81,54
1717950814,81,34
1717950815,81,56
1717950816,95,29
1717950817,81,56
1717950818,100,25
1717950819,100,25
1717950820,81,55
1717950821,81,56
1717950823,83,58
1717950824,88,33
1717950825,93,24
1717950826,100,27
1717950827,100,25
1717950828,94,40
1717950829,80,59
1717950830,92,59
1717950831,88,44
1717950832,94,40
1717950833,86,57
1717950834,83,65
1717950835,83,65
1717950836,87,47
1717950837,86,47
1717950839,81,59
1717950840,100,27
1717950841,86,62
1717950842,95,26
1717950843,100,27
1717950844,85,61
1717950845,86,51
1717950846,89,33
1717950847,83,49
1717950848,84,53
1717950849,100,31
1717950850,83,59
1717950851,90,42
1717950852,83,61
1717950853,81,47
1717950854,100,26
1717950856,100,26
1717950857,84,61
1717950858,91,46
1717950859,83,60
1717950860,80,60
1717950861,24,8
1717950862,100,25
1717950863,81,55
1717950864,85,58
1717950865,78,50
1717950866,81,31
1717950867,79,55
1717950868,78,54
1717950869,100,44
1717950870,81,55
1717950871,81,55
1717950873,82,42
1717950874,82,55
1717950875,100,26
1717950876,89,45
1717950877,77,50
1717950878,84,27
1717950879,89,48
1717950880,100,25
1717950881,98,29
1717950882,100,29
1717950883,79,56
1717950884,83,55
1717950885,100,27
1717950886,100,46
1717950887,96,28
1717950888,83,61
1717950890,100,27
1717950891,84,62
1717950892,95,31
1717950893,81,62
1717950894,82,57
1717950895,80,58
1717950896,90,37
1717950897,94,34
1717950898,100,25
1717950899,85,60
1717950900,89,44
1717950901,100,27
1717950902,80,60
1717950903,91,40
1717950904,83,61
1717950905,82,59
1717950907,100,30
1717950908,97,26
1717950909,80,55
1717950910,88,30
1717950911,84,49
1717950912,83,61
1717950913,98,27
1717950914,84,60
1717950915,90,48
1717950916,78,57
1717950917,94,57
1717950918,83,59
1717950919,22,7
1717950920,82,59
1717950921,93,35
1717950923,87,42
1717950924,87,41
1717950925,81,60
1717950926,76,37
1717950927,86,53
1717950928,77,59
1717950929,85,53
1717950930,78,44
1717950931,100,26
1717950932,82,57
1717950933,82,57
1717950934,100,25
1717950935,100,25
1717950936,91,33
1717950937,97,61
1717950938,96,31
1717950940,85,61
1717950941,89,48
1717950942,91,33
1717950943,100,27
1717950944,94,34
1717950945,78,54
1717950946,100,26
1717950947,100,27
1717950948,100,25
1717950949,83,58
1717950950,81,58
1717950951,100,26
1717950952,92,39
1717950953,94,29
1717950954,97,38
1717950956,77,60
1717950957,90,41
1717950958,82,56
1717950959,82,58
1717950960,80,47
1717950961,100,31
1717950962,97,33
1717950963,80,58
1717950964,90,33
1717950965,81,62
1717950966,80,48
