prompt_tokens,completion_tokens,total_requests,total_time,concurrent_requests,n_requests_per_thread,max_tokens_per_request,start_ts,end_ts,device
293868,9970,100,180.79424691200256,1,100,100,1717875699.093928,1717875879.8881748,nvidia_a100-pcie-40gb
303743,33156,100,542.6161253452301,1,100,500,1717875882.1800342,1717876424.7961595,nvidia_a100-pcie-40gb
327041,50270,100,813.9329142570496,1,100,1000,1717876426.378256,1717877240.3111703,nvidia_a100-pcie-40gb
1618254,49381,500,331.5805263519287,5,100,100,1717877242.107767,1717877573.6882937,nvidia_a100-pcie-40gb
1697695,164827,500,817.1888191699982,5,100,500,1717877575.4897232,1717878392.6785424,nvidia_a100-pcie-40gb
1539572,255384,500,1172.7599382400513,5,100,1000,1717878394.4905217,1717879567.25046,nvidia_a100-pcie-40gb
3137522,99278,1000,503.8014616966248,10,100,100,1717879568.8658645,1717880072.6673262,nvidia_a100-pcie-40gb
3023989,334396,1000,1089.9792385101318,10,100,500,1717880074.560699,1717881164.5399375,nvidia_a100-pcie-40gb
3175351,519270,1000,1590.7342522144318,10,100,1000,1717881166.227738,1717882756.9619904,nvidia_a100-pcie-40gb
6282483,198474,2000,906.6279220581056,20,100,100,1717882758.6715622,1717883665.2994845,nvidia_a100-pcie-40gb
6491896,677616,2000,1889.8605561256409,20,100,500,1717883666.980335,1717885556.8408911,nvidia_a100-pcie-40gb
6443501,1010049,2000,2632.2443656921387,20,100,1000,1717885558.397368,1717888190.6417336,nvidia_a100-pcie-40gb
