prompt_tokens,completion_tokens,total_requests,total_time,concurrent_requests,n_requests_per_thread,max_tokens_per_request
19766,958,4,10.549620866775513,,,
45589,2704,10,22.089996814727783,5.0,2.0,1000.0
374023,9975,100,180.02663731575012,1.0,100.0,100.0
1655656,49890,500,307.8018298149109,5.0,100.0,100.0
3397635,99786,1000,474.5868084430695,10.0,100.0,100.0
6695148,199752,2000,843.7049152851105,20.0,100.0,100.0
320467,23462,100,384.52255845069885,1.0,100.0,500.0
1600568,119496,500,605.8214182853699,5.0,100.0,500.0
3323799,243747,1000,840.3125243186951,10.0,100.0,500.0
6619255,491796,2000,1415.1392199993134,20.0,100.0,500.0
287814,30752,100,494.04317259788513,1.0,100.0,1000.0
1707211,151332,500,737.8788335323334,5.0,100.0,1000.0
3334935,308587,1000,1040.4822354316711,10.0,100.0,1000.0
6849572,607265,2000,1727.4460957050323,20.0,100.0,1000.0
